Id,R,Name,Team,Year,Pv,Mv,Fm
2428,P,Sommer,Inter,2024,1,5.5,6.5
5876,P,Di Gregorio,Juventus,2024,0,0.0,0.0
572,P,Meret,Napoli,2024,1,6.0,3.0
4312,P,Maignan,Milan,2024,1,7.0,5.0
4431,P,Carnesecchi,Atalanta,2024,0,0.0,0.0
5841,P,Svilar,Roma,2024,1,6.5,6.5
2814,P,Provedel,Lazio,2024,1,6.5,5.5
133,P,Skorupski,Bologna,2024,1,6.5,8.5
2521,P,De Gea,Fiorentina,2024,0,0.0,0.0
2815,P,Terracciano,Fiorentina,2024,1,6.5,5.5
610,P,Gollini,Genoa,2024,1,6.0,3.5
2170,P,Milinkovic-Savic V.,Torino,2024,1,6.5,4.5
761,P,Audero,Como,2024,0,0.0,0.0
2134,P,Falcone,Lecce,2024,0,0.0,0.0
574,P,Scuffet,Cagliari,2024,1,6.5,6.5
4957,P,Montipo',Verona,2024,1,6.5,6.5
6462,P,Okoye,Udinese,2024,1,7.0,5.5
6641,P,Suzuki,Parma,2024,1,5.5,4.5
4425,P,Joronen,Venezia,2024,1,6.5,3.5
6125,P,Vasquez D.,Empoli,2024,1,6.0,6.0
2792,P,Musso,Atalanta,2024,0,0.0,0.0
218,P,Perin,Juventus,2024,0,0.0,0.0
387,P,Reina,Como,2024,0,0.0,0.0
4360,P,Caprile,Napoli,2024,0,0.0,0.0
5116,P,Martinez Jo.,Inter,2024,0,0.0,0.0
3,P,Radunovic,Cagliari,2024,0,0.0,0.0
4,P,Sportiello,Milan,2024,0,0.0,0.0
188,P,Leali,Genoa,2024,0,0.0,0.0
216,P,Donnarumma An.,Torino,2024,0,0.0,0.0
219,P,Sommariva,Genoa,2024,0,0.0,0.0
511,P,Perilli,Verona,2024,0,0.0,0.0
543,P,Padelli,Udinese,2024,0,0.0,0.0
673,P,Perisan,Empoli,2024,0,0.0,0.0
1926,P,Di Gennaro,Inter,2024,0,0.0,0.0
1930,P,Pinsoglio,Juventus,2024,0,0.0,0.0
2178,P,Cragno,Monza,2024,0,0.0,0.0
2211,P,Silvestri,Udinese,2024,0,0.0,0.0
2297,P,Rossi F.,Atalanta,2024,0,0.0,0.0
2401,P,Fruchtl,Lecce,2024,0,0.0,0.0
2722,P,Ravaglia F.,Bologna,2024,0,0.0,0.0
2809,P,Vigorito,Como,2024,0,0.0,0.0
2845,P,Contini,Napoli,2024,0,0.0,0.0
4351,P,Brancolini,Empoli,2024,0,0.0,0.0
4491,P,Berardi A.,Verona,2024,0,0.0,0.0
4929,P,Ciocci,Cagliari,2024,0,0.0,0.0
5304,P,Boer,Roma,2024,0,0.0,0.0
5320,P,Paleari,Torino,2024,0,0.0,0.0
5338,P,Rinaldi,Parma,2024,0,0.0,0.0
5384,P,Ryan,Roma,2024,0,0.0,0.0
5521,P,Bertinato,Venezia,2024,0,0.0,0.0
5822,P,Bagnolini,Bologna,2024,0,0.0,0.0
5853,P,Sorrentino A.,Monza,2024,0,0.0,0.0
6184,P,Martinelli T.,Fiorentina,2024,0,0.0,0.0
6210,P,Popa,Torino,2024,0,0.0,0.0
6248,P,Stankovic F.,Venezia,2024,0,0.0,0.0
6403,P,Christensen O.,Fiorentina,2024,0,0.0,0.0
6417,P,Furlanetto,Lazio,2024,0,0.0,0.0
6482,P,Mandas,Lazio,2024,0,0.0,0.0
6505,P,Nava,Milan,2024,0,0.0,0.0
6523,P,Samooja,Lecce,2024,0,0.0,0.0
6650,P,Sherri,Cagliari,2024,0,0.0,0.0
6651,P,Chiorra,Empoli,2024,0,0.0,0.0
6661,P,Chichizola,Parma,2024,0,0.0,0.0
6662,P,Corvi,Parma,2024,0,0.0,0.0
6671,P,Grandi,Venezia,2024,0,0.0,0.0
6682,P,Pizzignacco,Monza,2024,1,6.5,6.5
6813,P,Torriani,Milan,2024,0,0.0,0.0
6824,P,Marin Re.,Roma,2024,0,0.0,0.0
254,D,Dimarco,Inter,2024,1,6.0,6.0
4292,D,Hernandez T.,Milan,2024,1,6.0,6.0
2816,D,Di Lorenzo,Napoli,2024,1,4.5,4.5
2120,D,Bastoni,Inter,2024,1,6.5,6.5
2724,D,Buongiorno,Napoli,2024,0,0.0,0.0
2788,D,Bremer,Juventus,2024,0,0.0,0.0
5513,D,Dumfries,Inter,2024,1,6.0,6.0
4177,D,Pavard,Inter,2024,0,0.0,0.0
4237,D,Danilo,Juventus,2024,0,0.0,0.0
4751,D,Tomori,Milan,2024,1,5.5,5.5
1852,D,Spinazzola,Napoli,2024,1,5.5,5.5
4887,D,Bellanova,Torino,2024,1,7.0,7.0
4816,D,Emerson Royal,Milan,2024,0,0.0,0.0
4409,D,Rrahmani,Napoli,2024,1,4.5,4.5
5323,D,Martinez Quarta,Fiorentina,2024,1,5.5,5.5
5354,D,Ruggeri,Atalanta,2024,0,0.0,0.0
460,D,Romagnoli,Lazio,2024,1,6.0,6.0
513,D,Acerbi,Inter,2024,1,5.0,5.0
2296,D,Mancini,Roma,2024,1,6.0,6.0
4772,D,Angelino,Roma,2024,1,5.5,5.5
5022,D,Pavlovic,Milan,2024,0,0.0,0.0
554,D,Zappacosta,Atalanta,2024,0,0.0,0.0
2602,D,Varane,Como,2024,0,0.0,0.0
2640,D,Kolasinac,Atalanta,2024,0,0.0,0.0
5514,D,Vasquez,Genoa,2024,1,5.5,5.5
5520,D,Cambiaso,Juventus,2024,0,0.0,0.0
5603,D,Pongracic,Fiorentina,2024,1,4.5,3.5
5678,D,Holm,Bologna,2024,0,0.0,0.0
5835,D,Baschirotto,Lecce,2024,0,0.0,0.0
5877,D,Carlos Augusto,Inter,2024,1,6.0,6.0
5885,D,Dodo',Fiorentina,2024,1,6.0,6.0
322,D,De Vrij,Inter,2024,0,0.0,0.0
393,D,Luperto,Cagliari,2024,1,6.0,6.0
787,D,Djimsiti,Atalanta,2024,0,0.0,0.0
2525,D,Darmian,Inter,2024,1,5.5,5.5
4210,D,Mina,Cagliari,2024,0,0.0,0.0
4245,D,Smalling,Roma,2024,0,0.0,0.0
4317,D,N'Dicka,Roma,2024,1,6.0,6.0
4734,D,Miranda J.,Bologna,2024,0,0.0,0.0
5449,D,Parisi,Fiorentina,2024,1,6.0,6.0
5498,D,Casale,Lazio,2024,1,6.5,6.5
5526,D,Scalvini,Atalanta,2024,0,0.0,0.0
5847,D,Bijol,Udinese,2024,1,7.0,7.0
6046,D,Hien,Atalanta,2024,0,0.0,0.0
6066,D,Posch,Bologna,2024,1,6.0,6.0
6230,D,Dossena,Como,2024,0,0.0,0.0
6257,D,Dorgu,Lecce,2024,0,0.0,0.0
6638,D,Marin R.,Napoli,2024,0,0.0,0.0
6642,D,Coco,Torino,2024,1,6.5,6.5
6820,D,Sosa B.,Torino,2024,0,0.0,0.0
252,D,Biraghi,Fiorentina,2024,1,6.5,9.5
357,D,Calabria,Milan,2024,1,5.0,5.0
2285,D,Bani,Genoa,2024,1,5.5,5.5
4378,D,Ranieri L.,Fiorentina,2024,0,0.0,0.0
4433,D,Zortea,Cagliari,2024,0,0.0,0.0
4904,D,Mari',Monza,2024,1,5.5,5.5
5324,D,Godfrey,Atalanta,2024,0,0.0,0.0
5435,D,Moreno Alb.,Como,2024,0,0.0,0.0
5677,D,Perez N.,Udinese,2024,1,6.0,6.0
5831,D,Gatti,Juventus,2024,0,0.0,0.0
5840,D,Olivera,Napoli,2024,1,5.0,5.0
6041,D,Schuurs,Torino,2024,0,0.0,0.0
6042,D,Lucumi',Bologna,2024,0,0.0,0.0
6202,D,Beukema,Bologna,2024,1,6.0,6.0
49,D,Masina,Torino,2024,1,5.5,5.5
226,D,Izzo,Monza,2024,1,6.5,6.5
791,D,Sabelli,Genoa,2024,1,5.5,5.5
2130,D,Hateboer,Atalanta,2024,0,0.0,0.0
2188,D,Marusic,Lazio,2024,1,6.0,6.0
4461,D,Zappa,Cagliari,2024,1,6.0,6.0
4530,D,Kyriakopoulos,Monza,2024,1,6.0,6.0
4982,D,Erlic,Bologna,2024,1,7.0,7.0
4994,D,Vojvoda,Torino,2024,1,6.5,6.0
5010,D,Ismajli,Empoli,2024,1,6.5,6.5
5527,D,Zanoli,Genoa,2024,1,6.0,6.0
5620,D,Tavares N.,Lazio,2024,0,0.0,0.0
5739,D,De Winter,Genoa,2024,1,5.0,5.0
5862,D,Valeri,Parma,2024,1,6.0,6.0
5867,D,Gendrey,Lecce,2024,0,0.0,0.0
6480,D,Tchatchoua,Verona,2024,1,7.5,7.0
6664,D,Delprato,Parma,2024,0,0.0,0.0
256,D,Juan Jesus,Napoli,2024,1,4.5,4.5
294,D,Rugani,Juventus,2024,0,0.0,0.0
327,D,Patric,Lazio,2024,0,0.0,0.0
729,D,Pereira P.,Monza,2024,0,0.0,0.0
770,D,Pezzella Giu.,Empoli,2024,1,6.0,6.0
1952,D,Zampano,Venezia,2024,1,5.5,5.5
2181,D,Palomino,Cagliari,2024,0,0.0,0.0
2263,D,Lazzari,Lazio,2024,1,6.5,6.5
4421,D,Augello,Cagliari,2024,1,5.5,5.5
4458,D,Candela,Venezia,2024,0,0.0,0.0
4493,D,Dawidowicz,Verona,2024,1,6.5,6.5
4502,D,Gallo,Lecce,2024,0,0.0,0.0
4925,D,Carboni A.,Monza,2024,0,0.0,0.0
4958,D,Caldirola,Monza,2024,1,5.5,5.5
5555,D,Kamara H.,Udinese,2024,1,6.5,6.5
5718,D,Viti,Empoli,2024,1,6.0,6.0
5833,D,Gila,Lazio,2024,0,0.0,0.0
5838,D,Birindelli,Monza,2024,1,6.0,6.0
6039,D,Cabal,Juventus,2024,0,0.0,0.0
6047,D,Ehizibue,Udinese,2024,1,6.0,5.5
6217,D,Bisseck,Inter,2024,1,4.5,4.5
6235,D,Kayode,Fiorentina,2024,1,6.0,6.0
6485,D,Kristensen T.,Udinese,2024,0,0.0,0.0
6639,D,Frese,Verona,2024,1,5.5,5.5
6663,D,Circati,Parma,2024,1,6.5,6.0
140,D,Hysaj,Lazio,2024,0,0.0,0.0
695,D,Toloi,Atalanta,2024,0,0.0,0.0
2593,D,Martin,Genoa,2024,1,6.5,6.5
2653,D,Lykogiannis,Bologna,2024,1,6.5,6.5
4374,D,Walukiewicz,Empoli,2024,1,6.5,6.5
4385,D,Lazaro,Torino,2024,1,7.0,8.0
4401,D,Gabbia,Milan,2024,0,0.0,0.0
4976,D,Kalulu,Milan,2024,0,0.0,0.0
5067,D,Bakker,Atalanta,2024,0,0.0,0.0
5327,D,Osorio,Parma,2024,0,0.0,0.0
5406,D,Di Pardo,Cagliari,2024,0,0.0,0.0
5450,D,Stojanovic,Empoli,2024,0,0.0,0.0
5480,D,Ebuehi,Empoli,2024,0,0.0,0.0
5481,D,Mazzocchi,Napoli,2024,1,4.5,4.5
5484,D,Svoboda,Venezia,2024,1,5.0,5.0
5764,D,Coppola D.,Verona,2024,1,6.5,6.0
6055,D,Thiaw,Milan,2024,1,4.5,2.5
6231,D,Azzi,Cagliari,2024,1,6.0,5.5
6256,D,Ferreira J.,Udinese,2024,0,0.0,0.0
6396,D,Natan,Napoli,2024,0,0.0,0.0
6533,D,Giannetti L.,Udinese,2024,1,7.0,9.5
