Id,R,Name,Team,Year,Pv,Mv,Fm,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,last_name,first_initial,merge_key
2428,P,Sommer,Inter,2024,1,5.5,6.5,34.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Inter,0.0,0.0,9.55554497987032,9.55554497987032,Sommer,Y,Sommer
5876,P,Di Gregorio,Juventus,2024,0,0.0,0.0,33.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Monza,0.0,0.0,5.725842714309692,5.725842714309692,Di Gregorio,M,Di Gregorio
572,P,Meret,Napoli,2024,1,6.0,3.0,31.0,2774.0,0.0,0.0,0.0,0.1849974691867828,0.0,1.0,0.0,0.0,GK,Napoli,0.0,0.0,4.149379049427807,4.149379049427807,Meret,A,Meret
4312,P,Maignan,Milan,2024,1,7.0,5.0,29.0,2610.0,0.0,0.0,1.0,0.1870583388954401,0.0,3.0,1.0,1.0,GK,AC Milan,0.0,0.0,8.04731984436512,7.860261490568519,Maignan,M,Maignan
4431,P,Carnesecchi,Atalanta,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5841,P,Svilar,Roma,2024,1,6.5,6.5,15.0,1350.0,0.0,0.0,0.0,0.0395816192030906,0.0,1.0,1.0,0.0,GK,Roma,0.0,0.0,1.6329222209751606,1.6329222209751606,Svilar,M,Svilar
2814,P,Provedel,Lazio,2024,1,6.5,5.5,30.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Lazio,0.0,0.0,5.310401801019907,5.310401801019907,Provedel,I,Provedel
133,P,Skorupski,Bologna,2024,1,6.5,8.5,32.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Bologna,0.0,0.0,3.8841355526819825,3.8841355526819825,Skorupski,L,Skorupski
2521,P,De Gea,Fiorentina,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2815,P,Terracciano,Fiorentina,2024,1,6.5,5.5,,,,,,,,,,,,,,,,,,,
610,P,Gollini,Genoa,2024,1,6.0,3.5,7.0,630.0,0.0,0.0150956837460398,0.0,0.0,1.0,0.0,0.0,0.0,GK,Napoli,0.0,0.0150956837460398,0.8918942175805569,0.8918942175805569,Gollini,P,Gollini
2170,P,Milinkovic-Savic V.,Torino,2024,1,6.5,4.5,,,,,,,,,,,,,,,,,,,
761,P,Audero,Como,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2134,P,Falcone,Lecce,2024,0,0.0,0.0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Lecce,0.0,0.0,2.9454613775014877,2.9454613775014877,Falcone,W,Falcone
574,P,Scuffet,Cagliari,2024,1,6.5,6.5,31.0,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,GK,Cagliari,0.0,0.0,3.285050520673394,3.285050520673394,Scuffet,S,Scuffet
4957,P,Montipo',Verona,2024,1,6.5,6.5,,,,,,,,,,,,,,,,,,,
6462,P,Okoye,Udinese,2024,1,7.0,5.5,21.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,GK,Udinese,0.0,0.0,0.213257934898138,0.213257934898138,Okoye,M,Okoye
6641,P,Suzuki,Parma,2024,1,5.5,4.5,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Parma Calcio 1913,0.0,0.0,0.0735327005386352,0.0735327005386352,Suzuki,Z,Suzuki
4425,P,Joronen,Venezia,2024,1,6.5,3.5,,,,,,,,,,,,,,,,,,,
6125,P,Vasquez D.,Empoli,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
2792,P,Musso,Atalanta,2024,0,0.0,0.0,11.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Atalanta,0.0,0.0,1.682745210826397,1.682745210826397,Musso,J,Musso
218,P,Perin,Juventus,2024,0,0.0,0.0,3.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Juventus,0.0,0.0,0.1355116218328476,0.1355116218328476,Perin,M,Perin
387,P,Reina,Como,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4360,P,Caprile,Napoli,2024,0,0.0,0.0,23.0,2070.0,0.0,0.0,0.0,0.1958548780530691,0.0,2.0,0.0,0.0,GK,Empoli,0.0,0.0,1.1644436018541455,0.9685887349769472,Caprile,E,Caprile
5116,P,Martinez Jo.,Inter,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
3,P,Radunovic,Cagliari,2024,0,0.0,0.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Cagliari,0.0,0.0,0.2149237003177404,0.2149237003177404,Radunovic,B,Radunovic
4,P,Sportiello,Milan,2024,0,0.0,0.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,AC Milan,0.0,0.0,0.539675772190094,0.539675772190094,Sportiello,M,Sportiello
188,P,Leali,Genoa,2024,0,0.0,0.0,2.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Genoa,0.0,0.0,0.0756071507930755,0.0756071507930755,Leali,N,Leali
216,P,Donnarumma An.,Torino,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
219,P,Sommariva,Genoa,2024,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Genoa,0.0,0.0,0.0,0.0,Sommariva,D,Sommariva
511,P,Perilli,Verona,2024,0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Verona,0.0,0.0,0.0164207555353641,0.0164207555353641,Perilli,S,Perilli
543,P,Padelli,Udinese,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
673,P,Perisan,Empoli,2024,0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Empoli,0.0,0.0,0.0609601885080337,0.0609601885080337,Perisan,S,Perisan
1926,P,Di Gennaro,Inter,2024,0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Inter,0.0,0.0,0.0,0.0,Di Gennaro,R,Di Gennaro
